voltage	current density
V	A/m^2
0	-184.166972130427
0.01	-184.163011222726
0.02	-184.158825207677
0.03	-184.154416036389
0.04	-184.149745057763
0.05	-184.144817883517
0.06	-184.13959965668
0.07	-184.134068684573
0.08	-184.128216449254
0.09	-184.122005494156
0.1	-184.115411833765
0.11	-184.108415272812
0.12	-184.100988173782
0.13	-184.093074963675
0.14	-184.084687528673
0.15	-184.075756512834
0.16	-184.066258386919
0.17	-184.056162301036
0.18	-184.045428813752
0.19	-184.034030628408
0.2	-184.021940278974
0.21	-184.009117752973
0.22	-183.995529567357
0.23	-183.98116782634
0.24	-183.966004542027
0.25	-183.950021072639
0.26	-183.933227104295
0.27	-183.915615202322
0.28	-183.897181340933
0.29	-183.877923900016
0.3	-183.857886923812
0.31	-183.837065491777
0.32	-183.815504586897
0.33	-183.793216471098
0.34	-183.770206373452
0.35	-183.746540195473
0.36	-183.722220254186
0.37	-183.697284909426
0.38	-183.67175823057
0.39	-183.645641085087
0.4	-183.61897737576
0.41	-183.591768867636
0.42	-183.564029345949
0.43	-183.535752084639
0.44	-183.506952440384
0.45	-183.477623963974
0.46	-183.447780529449
0.47	-183.417380072158
0.48	-183.386430913868
0.49	-183.354915612851
0.5	-183.322811219298
0.51	-183.290120925869
0.52	-183.256797634376
0.53	-183.222818390171
0.54	-183.188162336646
0.55	-183.152809747709
0.56	-183.116720206936
0.57	-183.079863895444
0.58	-183.042210599928
0.59	-183.003739949741
0.6	-182.964408768898
0.61	-182.924193712152
0.62	-182.883047911687
0.63	-182.840965724729
0.64	-182.797917794729
0.65	-182.753872678439
0.66	-182.708797190984
0.67	-182.662689060338
0.68	-182.61551258691
0.69	-182.567242661359
0.7	-182.517875949462
0.71	-182.467356916644
0.72	-182.415697003785
0.73	-182.36283587901
0.74	-182.308729219613
0.75	-182.253317659969
0.76	-182.196550338833
0.77	-182.138300021733
0.78	-182.078472937587
0.79	-182.01691368713
0.8	-181.953395817056
0.81	-181.887688433997
0.82	-181.819492171856
0.83	-181.748450450308
0.84	-181.674105369627
0.85	-181.59595025791
0.86	-181.513393762686
0.87	-181.425722865346
0.88	-181.332184091438
0.89	-181.231901473632
0.9	-181.123924875409
